2019-03-07 20:23:56,564 [Dummy-1:123145444044800] [utils:execute] [DEBUG]- (0.006) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-07 20:23:56,566 [Dummy-1:123145444044800] [utils:execute] [DEBUG]- (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2019-03-07 20:23:56,608 [Dummy-1:123145444044800] [utils:execute] [DEBUG]- (0.041) SHOW FULL TABLES; args=None
2019-03-07 20:23:56,644 [Dummy-1:123145444044800] [utils:execute] [DEBUG]- (0.034) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-07 20:29:59,705 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-07 20:29:59,706 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2019-03-07 20:29:59,707 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.001) SELECT @@sql_mode; args=None
2019-03-07 20:30:00,194 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.017) SHOW FULL TABLES; args=None
2019-03-07 20:30:00,200 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.002) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-07 20:30:00,203 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.003) SHOW FULL TABLES; args=None
2019-03-07 20:30:00,204 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-07 20:30:00,223 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.003) SHOW FULL TABLES; args=None
2019-03-07 20:30:00,233 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.003) SHOW FULL TABLES; args=None
2019-03-07 20:30:00,249 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.016) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('admin', '0003_logentry_add_action_flag_choices', '2019-03-07 12:30:00.233782'); args=['admin', '0003_logentry_add_action_flag_choices', '2019-03-07 12:30:00.233782']
2019-03-07 20:30:00,256 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.003) SHOW FULL TABLES; args=None
2019-03-07 20:30:00,257 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-07 20:30:00,288 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.018) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'admin' AND `django_content_type`.`model` = 'logentry'); args=('admin', 'logentry')
2019-03-07 20:30:00,300 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.010) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (1) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(1,)
2019-03-07 20:30:00,302 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.001) INSERT INTO `auth_permission` (`name`, `content_type_id`, `codename`) VALUES ('Can view log entry', 1, 'view_logentry'); args=('Can view log entry', 1, 'view_logentry')
2019-03-07 20:30:00,304 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'admin'; args=('admin',)
2019-03-07 20:30:00,307 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.002) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'auth' AND `django_content_type`.`model` = 'permission'); args=('auth', 'permission')
2019-03-07 20:30:00,309 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'auth' AND `django_content_type`.`model` = 'group'); args=('auth', 'group')
2019-03-07 20:30:00,310 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'auth' AND `django_content_type`.`model` = 'user'); args=('auth', 'user')
2019-03-07 20:30:00,312 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'auth' AND `django_content_type`.`model` = 'user'); args=('auth', 'user')
2019-03-07 20:30:00,313 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_content_type` (`app_label`, `model`) VALUES ('auth', 'user'); args=['auth', 'user']
2019-03-07 20:30:00,320 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.005) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (2, 3, 30) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(2, 3, 30)
2019-03-07 20:30:00,322 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.001) INSERT INTO `auth_permission` (`name`, `content_type_id`, `codename`) VALUES ('Can view permission', 2, 'view_permission'), ('Can view group', 3, 'view_group'), ('Can add user', 30, 'add_user'), ('Can change user', 30, 'change_user'), ('Can delete user', 30, 'delete_user'), ('Can view user', 30, 'view_user'); args=('Can view permission', 2, 'view_permission', 'Can view group', 3, 'view_group', 'Can add user', 30, 'add_user', 'Can change user', 30, 'change_user', 'Can delete user', 30, 'delete_user', 'Can view user', 30, 'view_user')
2019-03-07 20:30:00,324 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'auth'; args=('auth',)
2019-03-07 20:30:00,325 [MainThread:4429788608] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'contenttypes' AND `django_content_type`.`model` = 'contenttype'); args=('contenttypes', 'contenttype')
